Hacienda;   Nombre Hacienda;Suerte
643;El Embrujo;01A
643;El Embrujo;01A
643;El Embrujo;01A
643;El Embrujo;01A
643;El Embrujo;01A
643;El Embrujo;01A
643;El Embrujo;01A
643;El Embrujo;01A
643;El Embrujo;01A
643;El Embrujo;01A
643;El Embrujo;01A
643;El Embrujo;01A
643;El Embrujo;01A
643;El Embrujo;01A
643;El Embrujo;01A
98;El Remate;01A
103;Villa Patricia;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
118;La Doris;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
35;San Ramón;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
